domain_from;url_from;url_to;is_new;is_lost;page_from_rank;page_from_title;page_from_external_links;page_from_internal_links;first_seen;last_seen;item_type;dofollow
screenshots.wiki;https://screenshots.wiki/report/76414;https://neuromaroc.com/;;true;;👲 Domain Report 👲;;;2026-02-04T17:19:32;2026-03-24T03:54:49;anchor;true
booksreadr.org;https://booksreadr.org/page-f8912d7b535d8d38b011686a47bb551a.html;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥 from booksreadr.org| 8912-7535;10158;3;2026-02-03T22:16:40;2026-02-03T22:16:40;anchor;true
quero.party;https://quero.party/report/76414;https://neuromaroc.com/;;;;👲 Domain Report 👲;3500;21;2026-02-03T03:52:44;2026-03-17T11:22:22;anchor;
anchorurl.cloud;https://anchorurl.cloud/share/76414;https://neuromaroc.com/;;;;❤️ URL Shared ❤️;3500;21;2026-02-01T12:06:36;2026-03-18T05:21:41;anchor;
ready.pro;https://ready.pro/stats/76414;https://neuromaroc.com/;true;;;✅ Website Stats 📊;3500;21;2026-01-31T14:12:26;2026-01-31T14:12:26;anchor;
buzzshrink.website;https://buzzshrink.website/share/76414;https://neuromaroc.com/;;;;❤️ URL Shared ❤️;3500;21;2026-01-27T13:38:37;2026-03-16T15:42:11;anchor;
way2check.cv;https://way2check.cv/page-f8912d7b535d8d38b011686a47bb551a.html;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥 from all-aged-domains | 8912-7535;10158;3;2026-01-27T10:01:48;2026-01-27T10:01:48;anchor;true
quero.party;https://quero.party/report/76415;https://neuromaroc.com/;true;;;👲 Domain Report 👲;3500;21;2026-01-24T18:03:58;2026-01-24T18:03:58;anchor;
shortenurls.eu;https://shortenurls.eu/share/76415;https://neuromaroc.com/;;;;❤️ URL Shared ❤️;3500;21;2026-01-20T18:55:28;2026-03-03T15:46:59;anchor;
bye.fyi;https://bye.fyi/report/76415;https://neuromaroc.com/;;true;;👲 Domain Report 👲;;;2026-01-16T17:33:05;2026-03-15T06:29:31;anchor;true
urls-shortener.eu;https://urls-shortener.eu/share/76415;https://neuromaroc.com/;;true;;❤️ URL Shared ❤️;;;2026-01-06T21:47:52;2026-02-20T13:54:05;anchor;true
drjack.world;https://drjack.world/report/76415;https://neuromaroc.com/;;;;👲 Domain Report 👲;3500;21;2025-12-31T11:01:07;2026-02-09T14:33:40;anchor;
www.websiterace.com;https://www.websiterace.com/10738ff43add31a6233b741d9ab26919-l/;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 | 1073-8433;9001;3;2025-12-30T03:48:16;2026-02-01T18:06:17;anchor;true
www.getwebsiteworth.com;https://www.getwebsiteworth.com/10738ff43add31a6233b741d9ab26919-l/;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥i dont know | 1073-8433;9000;5;2025-12-25T12:36:48;2025-12-25T12:36:48;anchor;true
2x9.co;https://2x9.co/page-f8912d7b535d8d38b011686a47bb551a.html;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥 from all-aged-domains | 8912-7535;10157;5;2025-12-04T08:41:21;2025-12-04T08:41:21;anchor;true
drjack.world;https://drjack.world/report/598371;https://neuromaroc.com/;true;;;👲 Domain Report 👲;100;11;2025-10-02T09:42:21;2025-10-02T09:42:21;anchor;
lead.itxoft.com;https://lead.itxoft.com/site-architecture-seo-itxoft-64072/;https://neuromaroc.com/;true;;;Common SEO Terms You Should Know: A Guide by iTxoft;4998;11;2025-09-06T16:23:50;2025-09-06T16:23:50;anchor;
australianwebdirectory.pro;https://australianwebdirectory.pro/10738ff43add31a6233b741d9ab26919-l/;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from JobsApp | 1073-8433;9000;5;2025-08-03T15:52:25;2025-09-13T07:11:00;anchor;true
web.businessvocal.com;https://web.businessvocal.com/15/HeEaWCrqPo;https://neuromaroc.com/;;;;In The Age Of Digital Transformation, Drive Your Website’s Success With Intelligent, Results-Oriented Content Marketing Strategies That Leverage The Latest Technologies To Accelerate Growth And Enhance Audience Engagement;10000;;2025-07-13T09:50:43;2026-02-03T08:37:37;anchor;
backlink.wiki;https://backlink.wiki/domain.php?part=02/17/2025/150;https://neuromaroc.com/;true;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;525;2025-07-10T15:52:04;2025-07-10T15:52:04;image;
what-happens-next.xyz;https://what-happens-next.xyz/list-cc600111544bcfd5993eabc41081a58c;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥 from what-happens-next | 6001-1154;9002;4;2025-06-26T00:20:13;2025-06-26T00:20:13;anchor;true
australianwebdirectory.shop;https://australianwebdirectory.shop/page-f8912d7b535d8d38b011686a47bb551a.html;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from all-aged-domains | 8912-7535;10157;4;2025-06-03T10:02:42;2026-03-04T21:31:55;anchor;true
belonnanotservice.ga;https://belonnanotservice.ga/page-bdccfba584e24214976292b6dd64d61e.html;https://neuromaroc.com/;true;;;Where to buy 🚀 aged domains and backlinks 🔥 from belonnanotservice | 5842-4214;11002;4;2025-05-27T17:12:40;2025-05-27T17:12:40;anchor;true
web.thecloudherald.com;https://web.thecloudherald.com/15/HeEaWCrqPo;https://neuromaroc.com/;;;;In The Age Of Digital Transformation, Drive Your Website’s Success With Intelligent, Results-Oriented Content Marketing Strategies That Leverage The Latest Technologies To Accelerate Growth And Enhance Audience Engagement;10000;;2025-05-16T01:44:26;2025-10-18T00:06:39;anchor;
seobacklinks.agency;https://seobacklinks.agency/professional-high-quality-dofollow-link-building-for-your-website-seo-27553/;https://neuromaroc.com/;true;;;Boost your website’s metrics fast and 100% safely—our SEO experts deliver genuine, spam-free backlinks to enhance your Domain Authority (DA), Domain Rating (DR), and Trust Flow (TF) in just a few days, perfectly suited for every niche – Visit SeoBoost.agency and Chat With Us—our team is available 24/7. See  results first, then pay!;4001;7;2025-05-15T19:32:25;2025-05-15T19:32:25;anchor;
agmermer.pro;https://agmermer.pro/a1b3e44a3f0f4ed7a3fedbf9d8c9b91a-domains.html;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from Agmermer | 1344-3047;9002;4;2025-05-15T08:19:21;2025-06-29T22:20:37;anchor;true
rankgrow.agency;https://rankgrow.agency/risk-free-seo-backlinks-service-27553/;https://neuromaroc.com/;true;;;Trust our 10+ years SEO experts to boost your website’s metrics in just 24 hours to 5 days with real, spam-free dofollow backlinks, guest posts, and PBN links. Click now to choose your package and chat with us 24/7—no middlemen – Visit BuySeoLink.com | Pick Your Plan with Ease | Contact Us | Get Expert Guidance | Begin Your Seo Journey!;4001;7;2025-05-10T03:29:07;2025-05-10T03:29:07;anchor;
www.seo-tip.com;https://www.seo-tip.com/domain.php?part=02/17/2025/150;https://neuromaroc.com/;true;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2128;525;2025-04-18T12:02:54;2025-04-18T12:02:54;image;
thebestbacklinksavailable.click;https://thebestbacklinksavailable.click/aafc1ca9206d82ecc2ef6a386b99ef32-items;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from thebestbacklinksavailable | 1920-6822;9002;4;2025-04-12T22:12:09;2025-07-08T03:21:09;anchor;true
vickys.design;https://vickys.design/domain.php?part=02/16/2025/445;https://neuromaroc.com/;;true;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;;;2025-04-11T16:59:32;2025-05-23T13:12:05;image;
weknow.website;https://weknow.website/domain.php?part=02/17/2025/150;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;525;2025-04-10T23:54:07;2025-05-15T03:29:52;image;
backlink.wiki;https://backlink.wiki/domain.php?part=02/16/2025/445;https://neuromaroc.com/;true;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;539;2025-04-10T21:51:20;2025-04-10T21:51:20;image;
zhanhao.online;https://zhanhao.online/domain.php?part=02/17/2025/150;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;525;2025-04-10T20:57:52;2025-06-23T15:26:42;image;
www.seo-tip.com;https://www.seo-tip.com/domain.php?part=02/16/2025/445;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2128;539;2025-04-10T16:01:20;2025-05-15T02:17:52;image;
zhanhao.online;https://zhanhao.online/domain.php?part=02/16/2025/445;https://neuromaroc.com/;true;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;539;2025-04-10T15:58:08;2025-04-10T15:58:08;image;
seo-tip.com;https://seo-tip.com/domain.php?part=02/16/2025/445;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2127;540;2025-04-10T15:29:36;2025-05-14T13:04:41;image;
seo-tip.com;https://seo-tip.com/domain.php?part=02/17/2025/150;https://neuromaroc.com/;true;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2127;526;2025-04-10T14:09:54;2025-04-10T14:09:54;image;
weknow.website;https://weknow.website/domain.php?part=02/16/2025/445;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;539;2025-04-10T13:07:12;2025-06-10T14:40:31;image;
domain.gov.mex.com;https://domain.gov.mex.com/domain.php?part=02/16/2025/445;https://neuromaroc.com/;;;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;2253;539;2025-04-10T12:53:16;2025-05-14T11:50:02;image;
vickys.design;https://vickys.design/domain.php?part=02/17/2025/150;https://neuromaroc.com/;;true;;High-LevelSEO Practice: A Comprehensive Guide from Technical Optimization to Content Strategy | best seo
            guide for webmaster;;;2025-04-10T12:06:19;2025-04-10T12:06:20;image;
browseallexpireddomains.us;https://browseallexpireddomains.us/6d6c173055ab396a28d1093c42640d13-view.html;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from browseallexpireddomains | 6617-3055;8002;4;2025-04-07T05:55:46;2025-06-28T04:55:57;anchor;true
great-choice-for-pbn-domains.co.uk;https://great-choice-for-pbn-domains.co.uk/51f47af9b6d649b21b670662c3bc8555-str;https://neuromaroc.com/;;true;;;;;2025-03-30T14:46:14;2025-05-29T04:23:12;anchor;true
mundotecnologia.info;https://mundotecnologia.info/7af2b52c945bc497b7d9eb740c5cdccc-domains.html;https://neuromaroc.com/;;;;Where to buy 🚀 aged domains and backlinks 🔥 from MundoTecnologia | 7252-9454;10002;4;2025-02-09T12:33:13;2025-07-12T01:55:29;anchor;true
kompromat100.info;https://kompromat100.info/dom-id-2dc67e2c96408e8a0bf499c10e480d89.html;https://neuromaroc.com/;;true;;;;;2025-02-03T06:43:00;2025-08-01T08:27:52;anchor;true
newlyregddomains.com;https://newlyregddomains.com/2023-09-02/36;http://neuromaroc.com/;;;;2023-09-02 Newly Registered Domains Page 36;990;19;2024-03-28T15:20:13;2025-08-03T21:29:49;anchor;
